Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,,Action,,0.15,0.05,0.14,0.01,0.35,,,,,,
Tropico 4,X360,,Strategy,Kalypso Media,0.2,0.12,0.0,0.03,0.35,77.0,18.0,7.5,37.0,Haemimont,T
Tomb Raider (2013),PC,,Action,Square Enix,0.06,0.25,0.0,0.04,0.35,86.0,18.0,8.5,3552.0,"Crystal Dynamics, Nixxes Software",M
Bejeweled 3,DS,,Puzzle,,0.29,0.02,0.0,0.02,0.33,75.0,9.0,tbd,,PopCap,E
Custom Robo,N64,,Role-Playing,Nintendo,0.0,0.0,0.29,0.04,0.33,,,,,,
Final Fantasy XI,PS2,,Role-Playing,,0.08,0.06,0.15,0.02,0.32,85.0,49.0,6.9,66.0,Square Enix,T
Singularity,X360,,Shooter,,0.24,0.05,0.0,0.02,0.32,76.0,70.0,7.7,169.0,Raven Software,M
Cartoon Network Collection: Game Boy Advance Video Platinum Edition,GBA,2005.0,Misc,,0.23,0.08,0.0,0.01,0.32,,,,,,
Dragster,2600,,Racing,Activision,0.3,0.02,0.0,0.0,0.32,,,,,,
All-Star Baseball 2005,PS2,,Sports,,0.16,0.12,0.0,0.04,0.32,72.0,13.0,8.6,21.0,Acclaim,E
Star Wars Jedi Knight II: Jedi Outcast,XB,,Shooter,Activision,0.23,0.07,0.0,0.01,0.31,81.0,24.0,6.8,15.0,Vicarious Visions,T
Slot Machine,2600,,Action,Atari,0.29,0.02,0.0,0.0,0.31,,,,,,
The Dukes of Hazzard II: Daisy Dukes It Out,PS,,Racing,,0.17,0.11,0.0,0.02,0.3,53.0,5.0,tbd,,Sinister Games,E
Harvest Moon: The Tale of Two Towns,3DS,,Simulation,,0.28,0.0,0.0,0.02,0.3,,,,,,
NBA Live 2003,GC,,Sports,Electronic Arts,0.23,0.06,0.0,0.01,0.3,82.0,11.0,8.2,5.0,EA Canada,E
Shrek the Third,DS,,Action,Activision,0.26,0.01,0.0,0.02,0.3,70.0,16.0,6.5,4.0,Vicarious Visions,E
Fast Food,2600,1981.0,Action,,0.27,0.02,0.0,0.0,0.29,,,,,,
Nicktoons: Battle for Volcano Island,GC,,Action,,0.22,0.06,0.0,0.01,0.29,,,7,4.0,Blue Tongue Entertainment,E
Haven: Call of the King,PS2,,Platform,Midway Games,0.14,0.11,0.0,0.04,0.28,69.0,26.0,6.9,15.0,Traveller's Tales,T
Unreal Championship 2: The Liandri Conflict,XB,,Shooter,Midway Games,0.22,0.05,0.0,0.01,0.28,85.0,54.0,8.2,21.0,Epic Games,M
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GC,,Action,Disney Interactive Studios,0.22,0.06,0.0,0.01,0.28,71.0,17.0,tbd,,Traveller's Tales,T
Pac-Man Fever,GC,,Misc,,0.21,0.06,0.0,0.01,0.28,54.0,10.0,6.3,6.0,Mass Media,E
The Legend of Zelda: The Minish Cap(weekly JP sales),GBA,,Action,,0.0,0.0,0.27,0.01,0.27,,,,,,
M&M's Blast!,GBA,2001.0,Puzzle,,0.2,0.07,0.0,0.0,0.27,,,,,,
Indy 500,2600,,Racing,Atari,0.26,0.01,0.0,0.0,0.27,,,,,,
Disgaea 3: Absence of Detention,PSV,,Role-Playing,Nippon Ichi Software,0.11,0.05,0.07,0.03,0.27,78.0,28.0,7.6,116.0,Nippon Ichi Software,T
Flag Capture,2600,,Action,Atari,0.25,0.02,0.0,0.0,0.27,,,,,,
Gun,X360,,Shooter,Activision,0.24,0.01,0.0,0.02,0.27,75.0,53.0,7.5,57.0,Neversoft Entertainment,M
Rock Revolution,PS3,,Misc,,0.25,0.0,0.0,0.02,0.27,42.0,20.0,6.6,12.0,"Zoe Mode, HB Studios Multimedia",T
Ultimate NES Remix,3DS,2014.0,Action,,0.15,0.09,0.0,0.02,0.27,69.0,16.0,7.6,32.0,Indies Zero,E
Sonic X: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.19,0.07,0.0,0.0,0.27,,,,,,
LEGO Harry Potter: Years 5-7,PSP,,Action,Warner Bros. Interactive Entertainment,0.1,0.1,0.0,0.06,0.26,,,tbd,,Traveller's Tales,E10+
Dora the Explorer: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.18,0.07,0.0,0.0,0.26,,,,,,
College Hoops 2K6,PS2,,Sports,,0.12,0.1,0.0,0.03,0.25,77.0,14.0,7.3,6.0,2K Sports,E
Cartoon Network Collection: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.18,0.07,0.0,0.0,0.25,,,,,,
Jonah Lomu Rugby Challenge,PS3,,Sports,Home Entertainment Suppliers,0.0,0.19,0.0,0.06,0.25,64.0,6.0,,,Sidhe Interactive,E
Mega Man X Collection,PS2,,Misc,,0.12,0.09,0.0,0.03,0.24,73.0,23.0,8.8,14.0,Capcom,E
BioShock 2,PC,,Shooter,Take-Two Interactive,0.02,0.19,0.0,0.04,0.24,88.0,36.0,8,1247.0,2K Marin,M
All Grown Up!: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.17,0.06,0.0,0.0,0.24,,,,,,
Singularity,PS3,,Shooter,,0.17,0.04,0.01,0.03,0.24,77.0,48.0,7.7,100.0,Raven Software,M
Danganronpa: Trigger Happy Havoc,PSP,,Misc,,0.0,0.0,0.24,0.0,0.24,,,,,,
Jet X20,PS2,,Racing,,0.11,0.09,0.0,0.03,0.23,,,,,,
Tony Hawk's Downhill Jam,Wii,,Sports,Activision,0.21,0.0,0.0,0.02,0.23,69.0,42.0,6.2,13.0,Toys for Bob,E10+
Tribes: Aerial Assault,PS2,,Shooter,,0.11,0.09,0.0,0.03,0.23,73.0,23.0,8.8,47.0,Midway Studios - Austin,T
Big Beach Sports 2,Wii,,Sports,THQ,0.09,0.11,0.0,0.02,0.23,,,tbd,,Jet Black Games,E
Nicktoons Collection: Game Boy Advance Video Volume 2,GBA,2004.0,Misc,,0.16,0.06,0.0,0.0,0.22,,,,,,
LEGO Harry Potter: Years 5-7,PC,,Action,Warner Bros. Interactive Entertainment,0.05,0.14,0.0,0.03,0.22,80.0,5.0,8.5,44.0,Traveller's Tales,E10+
Afrika,PS3,2008.0,Adventure,,0.12,0.0,0.08,0.01,0.22,63.0,12.0,6.2,34.0,Rhino Studios,E10+
Yoostar2,X360,2011.0,Misc,,0.11,0.09,0.0,0.02,0.21,,,,,,
Yu Yu Hakusho: Dark Tournament,PS2,,Fighting,,0.1,0.08,0.0,0.03,0.21,56.0,15.0,8.5,18.0,Digital Fiction,T
Ghostbusters II,2600,,Action,Activision,0.2,0.01,0.0,0.0,0.21,,,,,,
Breakaway IV,2600,,Puzzle,Sears,0.2,0.01,0.0,0.0,0.21,,,,,,
Robotech: Battlecry,XB,,Shooter,,0.16,0.05,0.0,0.01,0.21,74.0,22.0,7,10.0,Vicious Cycle,T
Move Fitness,PS3,,Sports,Sony Computer Entertainment,0.0,0.16,0.0,0.05,0.21,,,,,,
Valkyria Chronicles III: Unrecorded Chronicles,PSP,,Strategy,Sega,0.0,0.0,0.21,0.0,0.21,,,,,Sega,
DanceDanceRevolution II,Wii,,Misc,Konami Digital Entertainment,0.2,0.0,0.0,0.01,0.21,,,tbd,,Konami,E10+
Now! That's What I Call Music: Dance & Sing,Wii,2011.0,Misc,,0.0,0.17,0.0,0.04,0.21,,,,,,
SpongeBob SquarePants: Game Boy Advance Video Volume 3,GBA,2004.0,Misc,,0.15,0.05,0.0,0.0,0.21,,,,,,
WRC: FIA World Rally Championship,PS3,,Racing,Black Bean Games,0.0,0.14,0.01,0.04,0.2,68.0,24.0,4.5,4.0,Milestone S.r.l,
Famista 64,N64,,Sports,Namco Bandai Games,0.0,0.0,0.17,0.03,0.2,,,,,,
Two Worlds II,PC,2011.0,Role-Playing,,0.09,0.09,0.0,0.02,0.2,76.0,31.0,6.5,315.0,Reality Pump,M
Dead Space 3,PC,,Action,Electronic Arts,0.02,0.16,0.0,0.02,0.19,78.0,16.0,6,1096.0,Visceral Games,M
Test Drive Unlimited 2,PC,,Racing,Atari,0.05,0.11,0.0,0.03,0.19,72.0,19.0,5.7,253.0,Eden,T
Pet Zombies,3DS,,Simulation,Majesco Entertainment,0.18,0.0,0.0,0.01,0.19,,,tbd,,1st Playable Productions,T
Chibi-Robo! Park Patrol,DS,2007.0,Adventure,,0.0,0.0,0.19,0.0,0.19,78.0,14.0,7.5,13.0,Skip Ltd.,E
Thomas the Tank Engine & Friends,GBA,2004.0,Adventure,,0.13,0.05,0.0,0.0,0.19,,,,,,
Heavy Fire: Afghanistan,PS3,2011.0,Shooter,,0.17,0.0,0.0,0.02,0.18,39.0,5.0,3.3,16.0,Teyon,T
Star Trek: Legacy,X360,,Simulation,Ubisoft,0.14,0.02,0.0,0.01,0.18,64.0,41.0,5.5,42.0,Mad Doc Software,E10+
Backbreaker,X360,,Sports,,0.17,0.0,0.0,0.01,0.18,54.0,29.0,7.6,68.0,NaturalMotion,E
Twisted Metal: Small Brawl,PS,,Action,,0.1,0.07,0.0,0.01,0.18,51.0,14.0,7.6,49.0,Incognito Inc.,T
Otomedius Excellent,X360,,Shooter,,0.13,0.0,0.04,0.01,0.18,48.0,8.0,8.1,16.0,Konami,T
NBA Starting Five,PS2,,Sports,,0.09,0.07,0.0,0.02,0.18,53.0,10.0,7.3,7.0,Konami,E
Teen Titans,GBA,,Action,,0.13,0.05,0.0,0.0,0.17,61.0,9.0,tbd,,Artificial Mind and Movement,E10+
Trauma Team,Wii,,Simulation,,0.14,0.0,0.02,0.01,0.17,82.0,29.0,8.8,25.0,Atlus,T
Backbreaker,PS3,,Sports,,0.16,0.0,0.0,0.01,0.17,58.0,25.0,7,52.0,NaturalMotion,E
Dragon Ball GT: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.12,0.05,0.0,0.0,0.17,,,,,,
James Cameron's Dark Angel,PS2,,Action,Universal Interactive,0.08,0.07,0.0,0.02,0.17,48.0,17.0,6.5,19.0,Radical Entertainment,T
Codename: Kids Next Door: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.12,0.05,0.0,0.0,0.17,,,,,,
Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.12,0.04,0.0,0.0,0.17,,,,,,
Sword of the Samurai,PS2,,Fighting,Ubisoft,0.0,0.0,0.17,0.0,0.17,,,,,,
Stronghold 3,PC,2011.0,Strategy,,0.06,0.1,0.0,0.0,0.16,47.0,29.0,3,350.0,FireFly Studios,T
Splatterhouse,PS3,,Action,Namco Bandai Games,0.13,0.02,0.0,0.02,0.16,59.0,49.0,7.7,67.0,"Namco Bandai Games America, Namco Bandai Games",M
Alone in the Dark: The New Nightmare,PS,,Adventure,Infogrames,0.09,0.06,0.0,0.01,0.16,77.0,15.0,8.1,40.0,Darkworks,M
Vegas Party,Wii,,Misc,,0.15,0.0,0.0,0.01,0.16,33.0,6.0,tbd,,Storm City Games,T
Jurassic Park: The Game,X360,,Action,,0.15,0.0,0.0,0.01,0.16,60.0,9.0,3.6,138.0,Telltale Games,T
Home Run,2600,,Sports,Atari,0.14,0.01,0.0,0.0,0.15,,,,,,
Cartoon Network Collection: Game Boy Advance Video Special Edition,GBA,2005.0,Misc,,0.11,0.04,0.0,0.0,0.15,,,,,,
Pokémon: Johto Photo Finish: Game Boy Advance Video,GBA,2004.0,Misc,,0.11,0.04,0.0,0.0,0.15,,,,,,
Kids Learn Math: A+ Edition,DS,2011.0,Misc,,0.14,0.0,0.0,0.01,0.15,,,,,,
